Title,Jurisdictions,Document type,Document file
West Virginia v. EPA,US,motion to dismiss,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190715_docket-15-1363_motion-to-dismiss.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190717_docket-15-1363_response.pdf
West Virginia v. EPA,US,motion to dismiss,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190725_docket-15-1363_motion-to-dismiss.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190725_docket-15-1363_response.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190731_docket-15-1363_response.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190801_docket-15-1363_response.pdf
West Virginia v. EPA,US,reply,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190801_docket-15-1363_reply.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190802_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190605_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190620_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190405_docket-15-1363_order.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190222_docket-15-1363_motion.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190208_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190311_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20181221_docket-15-1363_order.pdf
West Virginia v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190314_docket-15-1363_opposition.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190308_docket-15-1363_order.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20181221_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190116_docket-15-1363_motion.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190124_docket-15-1363_order.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190123_docket-15-1363_order.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190130_docket-15-1363_order.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190118_docket-15-1363_motion.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2019/20190126_docket-15-1363_motion.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20181024_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20181121_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,reply,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180921_docket-15-1363_reply.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180914_docket-15-1363_response.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180924_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180914_docket-15-1363_opposition.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180824_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180827_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180904_docket-15-1363_motion.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180824_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180726_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180626_docket-15-1363_order.pdf
West Virginia v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180509_docket-15-1363_opposition.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180301_docket-15-1363_order.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180502_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180601_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180509_docket-15-1363_response.pdf
West Virginia v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180117_docket-15-1363_opposition.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180117_docket-15-1363_response.pdf
West Virginia v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180130_docket-15-1363_motion.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2018/20180110_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171211_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171109_docket-15-1363_order.pdf
West Virginia v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170405_docket-15-1363_opposition-2.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171017_docket-15-1363_response.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171017_docket-15-1363_response-1.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171010_docket-15-1363_status-report.pdf
West Virginia v. EPA,US,status report,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170907_docket-15-1363_status-report-1.pdf
West Virginia v. EPA,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170808_docket-15-1363_order.pdf
West Virginia v. EPA,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170803_docket-15-1363_response.pdf
West Virginia v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170515_docket-15-1363_brief.pdf
