cls,ngram,rank,term,z,count_in_class,count_in_others,rate_per_10k_in_class,rate_per_10k_in_others
only_Q32,2,2,environmental social,47.51405027776045,2809,1046,36.45419670990817,6.535155512959726
only_Q32,2,3,annual performance,31.126366408106136,1066,237,13.83416649795732,1.4807187921333222
only_Q32,2,4,performance report,30.8479693160845,1045,226,13.561636013475983,1.411993447350763
only_Q32,2,5,green climate,30.56684063145554,1703,1077,22.100924527224496,6.728836030074211
only_Q32,2,6,climate fund,29.622261489905146,1710,1148,22.19176802205161,7.172426891852548
only_Q32,2,7,supply chain,29.31891485021376,1216,571,15.780812815681145,3.567470170076485
only_Q32,2,8,women men,28.903858701355027,955,117,12.393648222841689,0.7309877581417666
only_Q32,2,9,men women,28.647915111427203,919,128,11.92645310658797,0.7997131029243258
only_Q32,2,10,implementation project,28.28445988226324,1106,501,14.353272182683673,3.1301270669147443
only_Q911,2,1,energy efficiency,52.34849437981361,4905,788,45.370456017019706,6.108385076316055
only_Q911,2,2,renewable energy,51.48595533765075,5288,1262,48.91314401997965,9.782718231358961
only_Q911,2,3,climate change,48.17383035231944,24862,18777,229.96947553417814,145.55475454059209
only_Q911,2,4,ghg emissions,43.217099687304,3530,724,32.65192859124965,5.612272582808152
only_Q911,2,5,greenhouse gas,42.25106915988461,3774,1010,34.908889094440845,7.829275288171593
only_Q911,2,6,gas emissions,37.58331751926666,2603,485,24.077328646748683,3.759602489864577
only_Q911,2,7,paris agreement,31.259369569522974,2154,618,19.924151327351773,4.790586265435688
only_Q911,2,8,energy sources,30.224503587722683,1615,187,14.938488576449911,1.449578691968404
only_Q911,2,9,energy consumption,28.810009925307337,1465,189,13.551012857274998,1.4650822073905259
only_Q911,2,10,mitigation adaptation,26.24023610838993,1463,394,13.532513181019333,3.0541925381580275
only_Q912,2,1,civil society,48.13883959979075,1843,982,35.47819525135041,5.303360883447033
only_Q912,2,2,local communities,36.443429892889675,1318,1034,25.371818416321126,5.584190583996164
only_Q912,2,3,working group,36.12390004662924,1127,714,21.69502227252952,3.856007811386132
only_Q912,2,4,key stakeholders,33.83300765799456,848,359,16.324204868771105,1.9388050480218788
only_Q912,2,5,local authorities,31.727996379842843,890,587,17.132715015573446,3.170135273506526
only_Q912,2,6,local government,30.904389952400035,864,592,16.632208734219613,3.197138129328558
only_Q912,2,7,working groups,30.584051629673347,719,347,13.84092370359248,1.8739981940490027
only_Q912,2,8,stakeholder engagement,30.08851145231742,972,839,18.711234825997067,4.5310792069369255
only_Q912,2,9,ministry environment,28.82724754914361,1381,1744,26.584583636524638,9.41859611072467
only_Q912,2,10,implementation progress,28.67562203048675,623,287,11.992900510901412,1.5499639241846217
