cls,ngram,rank,term,z,count_in_class,count_in_others,rate_per_10k_in_class,rate_per_10k_in_others
only_Q911,2,2,renewable energy,55.0741639154568,33807,1478,30.240420601878025,7.01875689172594
only_Q911,2,3,ghg emissions,45.1420724462021,21889,859,19.57974876666099,4.079236921510543
only_Q911,2,4,greenhouse gas,45.002495927968724,23821,1164,21.307926144210857,5.527627213781457
only_Q911,2,5,climate change,44.40497092823006,155814,21316,139.37589539624997,101.22586055753054
only_Q911,2,6,gas emissions,39.792742870168574,16372,552,14.644782621763156,2.6213489879788354
only_Q911,2,7,paris agreement,33.82797938138018,13883,717,12.418367770457971,3.4049043919942483
only_Q911,2,8,energy consumption,31.089149148248424,9700,228,8.676666957677902,1.0827311037303886
only_Q911,2,9,energy sources,30.998505149476337,9651,220,8.632836372015406,1.044740538687217
only_Q911,2,10,mitigation adaptation,27.323466000545356,9068,469,8.111341852806516,2.227196875655931
only_Q912,2,1,civil society,78.81135776696341,1851,3091,24.994227427214945,2.464003900316494
only_Q912,2,2,local communities,62.15128080164544,1326,2838,17.905102954341988,2.262323865771016
only_Q912,2,3,working group,59.6977146076667,1130,2122,15.258496484469417,1.6915613964644454
only_Q912,2,4,stakeholder engagement,59.19219759009187,976,1397,13.179019972426682,1.1136245385772054
only_Q912,2,5,public consultation,56.93875210474173,1153,160,15.569067651852421,0.12754468587856327
only_Q912,2,6,key stakeholders,56.69869497207822,848,1041,11.450623910469083,0.8298376124974023
only_Q912,2,7,steering committee,51.778387536981846,787,1271,10.626935162192416,1.013183098447837
only_Q912,2,8,working groups,51.70702158960585,723,956,9.762737131213617,0.7620794981244156
only_Q912,2,9,implementation progress,49.66388584882228,623,652,8.412427707809245,0.5197445949551454
only_Q912,2,10,consultation process,46.40738787610993,525,246,7.0891244728729585,0.19609995453829102
