concept,ngram,country,rank,term,z,n_aus,n_tur,rate_per_10k_aus,rate_per_10k_tur
Q911,1,Australia,3,communities,21.907922412954374,6393,3736,42.62023552224938,3.0857451431657172
Q911,1,Australia,4,net,19.933519602531955,6393,3736,38.65614963540509,8.82865971516858
Q911,1,Australia,5,million,19.607482353213975,6393,3736,34.76781061264064,6.557208429227149
Q911,1,Australia,6,program,19.437289136769735,6393,3736,38.73189649948492,9.771526286691438
Q911,1,Australia,7,community,18.524437519763705,6393,3736,29.793766538065324,2.4857391431057168
Q911,1,Australia,8,investment,17.65809871815193,6393,3736,36.53523744116993,11.142968572542868
Q911,1,Türkiye,1,agricultural,-26.142765905425783,6393,3736,6.943462540650817,41.357556432707185
Q911,1,Türkiye,2,water,-25.65054074015855,6393,3736,22.926050861494335,66.68638114952579
Q911,1,Türkiye,3,green,-25.34655501855013,6393,3736,8.963378916112873,42.81471386142433
Q911,1,Türkiye,4,development,-22.9822418392683,6393,3736,44.58965398832488,92.78664215213581
Q911,1,Türkiye,5,social,-21.59463785056262,6393,3736,15.477609226978004,46.07188929032147
Q911,1,Türkiye,6,order,-20.493547691889226,6393,3736,1.6159331003696447,24.04309757383288
Q911,1,Türkiye,7,production,-20.13880873076051,6393,3736,10.579312016482518,35.357496432107176
Q911,1,Türkiye,8,institutions,-19.930531067217164,6393,3736,3.6106005211384247,23.44309157377288
Q911,2,Australia,1,net zero,18.775335347068587,6393,3736,89.94125026564203,19.284162591047966
Q911,2,Australia,2,clean energy,12.70861847789714,6393,3736,37.01850239591974,3.8335985873770055
Q911,2,Australia,3,emissions reduction,12.347007566333614,6393,3736,35.990210662699745,2.7880716999105495
Q911,2,Türkiye,1,action plan,-18.063889308509236,6393,3736,15.835692691587887,64.93883667708322
Q911,2,Türkiye,2,climate change,-17.120866757518627,6393,3736,225.12733679296375,343.8621763223011
Q911,2,Türkiye,3,water resources,-15.242140269964924,6393,3736,2.4679001597279826,35.896423136348325
Q912,1,Australia,1,government,15.233029054541047,1516,690,121.23273393529134,8.382888428994315
Q912,1,Australia,2,communities,13.703587138135054,1516,690,94.13365223210857,9.692714746024677
Q912,1,Australia,3,community,12.5241634175385,1516,690,81.95552239788474,5.763235794933592
Q912,1,Australia,4,nations,11.367641700955,1516,690,69.44825391949269,4.1914442144971575
Q912,1,Australia,5,program,9.39777321632598,1516,690,47.94452916716952,9.430749482618605
Q912,1,Australia,6,indigenous,8.37290571502117,1516,690,49.590222388010574,1.0478610536242894
Q912,1,Australia,7,state,7.950030327431213,1516,690,31.81673560292714,3.9294789510910855
Q912,1,Australia,8,traditional,7.85552146755847,1516,690,32.14587424709535,2.3576873706546513
Q912,1,Türkiye,1,participation,-15.655882239678704,1516,690,20.29688305703973,85.66264113378566
Q912,1,Türkiye,2,institutions,-14.80357020691162,1516,690,3.181673560292714,58.41825373955413
Q912,1,Türkiye,3,women,-14.132753626084446,1516,690,14.26267458062251,65.75328111492416
Q912,1,Türkiye,4,public,-11.804558211257111,1516,690,26.769943059014558,74.92206533413669
Q912,1,Türkiye,5,process,-10.917922896198528,1516,690,14.372387462011915,49.77340004715375
Q912,1,Türkiye,6,social,-10.549648089243505,1516,690,19.528892887313898,56.8464621591177
Q912,1,Türkiye,7,development,-10.428525281438493,1516,690,44.32400408131919,94.30749482618604
Q912,1,Türkiye,8,coordination,-10.320216983490525,1516,690,5.705069832249005,31.697796872134756
Q912,2,Australia,1,torres strait,5.622750675201616,1516,690,89.28571428571429,0.0
Q912,2,Australia,2,state territory,5.447537065639645,1516,690,83.82936507936508,0.0
Q912,2,Australia,3,net zero,5.393377377406231,1516,690,73.90873015873017,13.748281464816898
Q912,2,Türkiye,1,action plan,-10.37686275881169,1516,690,51.09126984126984,193.72578427696538
Q912,2,Türkiye,2,climate change,-9.622954716825909,1516,690,348.2142857142857,607.4240719910011
Q912,2,Türkiye,3,change adaptation,-9.111268698591374,1516,690,23.80952380952381,121.23484564429447
